AgentId,MetricDate,Total Autonomous Runs,Number of successful runs,Number of failed runs,Total duration of all runs,Total duration of all successful runs,Total duration of all failed runs,Number of successful runs with knowledge sources used,Number of failed runs with knowledge sources used,Number of successful runs with actions used,Number of failed runs with actions used,Number of successful runs with no external operations,Number of failed runs with no external operations
f61d148c-76e6-3001-55a8-ee4ca47ace11,2025-11-30,234,0,234,1709,0,1709,0,0,0,234,0,0
3f0a5559-0596-3fe5-aa0f-59899cb9169f,2025-11-30,3,3,0,237,237,0,0,0,3,0,0,0
ae0ffdb4-3f51-f4c4-87a7-53c2b46a0c18,2025-11-30,7,7,0,79,79,0,6,0,0,0,1,0
33e839ea-074e-e138-16dc-4a867812860d,2025-11-30,6,6,0,144,144,0,6,0,2,0,0,0
33e839ea-074e-e138-16dc-4a867812860d,2025-12-07,7,7,0,124,124,0,7,0,2,0,0,0
ae0ffdb4-3f51-f4c4-87a7-53c2b46a0c18,2025-12-07,7,7,0,54,54,0,0,0,0,0,7,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,2025-12-07,256,0,256,1201,0,1201,0,0,0,256,0,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,2025-12-14,209,1,208,1135,63,1072,0,0,1,208,0,0
33e839ea-074e-e138-16dc-4a867812860d,2025-12-14,7,7,0,164,164,0,7,0,5,0,0,0
ae0ffdb4-3f51-f4c4-87a7-53c2b46a0c18,2025-12-14,7,7,0,65,65,0,0,0,0,0,7,0
33e839ea-074e-e138-16dc-4a867812860d,2025-12-21,7,7,0,168,168,0,5,0,6,0,0,0
ae0ffdb4-3f51-f4c4-87a7-53c2b46a0c18,2025-12-21,2993,2993,0,17302,17302,0,0,0,0,0,2993,0
e750dd3c-bffb-1fda-7a52-161caff0b1f2,2025-12-21,2,1,1,9,5,4,0,0,1,1,0,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,2025-12-21,77,0,77,395,0,395,0,0,0,77,0,0
ae0ffdb4-3f51-f4c4-87a7-53c2b46a0c18,2025-12-28,1540,1540,0,8597,8597,0,0,0,0,0,1540,0
33e839ea-074e-e138-16dc-4a867812860d,2025-12-28,7,7,0,178,178,0,7,0,6,0,0,0
578241a6-ff5e-ce63-21bc-18fd3b399892,2025-12-28,348,348,0,9861,9861,0,68,0,41,0,239,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,2025-12-28,65,0,65,397,0,397,0,0,0,65,0,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,2026-01-04,199,0,199,1060,0,1060,0,0,0,199,0,0
578241a6-ff5e-ce63-21bc-18fd3b399892,2026-01-04,107,107,0,3280,3280,0,18,0,0,0,89,0
98e53774-1f18-e88c-9de2-07331d654981,2026-01-04,1,1,0,15,15,0,0,0,0,0,1,0
33e839ea-074e-e138-16dc-4a867812860d,2026-01-04,7,7,0,185,185,0,6,0,5,0,0,0
3bbbdfc6-17f8-c90d-5829-14f3b1738a51,2026-01-04,245,243,2,1226,1216,10,0,0,243,2,0,0
ae0ffdb4-3f51-f4c4-87a7-53c2b46a0c18,2026-01-04,1,1,0,9,9,0,0,0,0,0,1,0
33e839ea-074e-e138-16dc-4a867812860d,2026-01-11,7,7,0,158,158,0,4,0,4,0,2,0
ae0ffdb4-3f51-f4c4-87a7-53c2b46a0c18,2026-01-11,1,1,0,6,6,0,0,0,0,0,1,0
3bbbdfc6-17f8-c90d-5829-14f3b1738a51,2026-01-11,203,203,0,1013,1013,0,0,0,203,0,0,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,2026-01-11,203,0,203,1064,0,1064,0,0,0,203,0,0
578241a6-ff5e-ce63-21bc-18fd3b399892,2026-01-11,136,136,0,4973,4973,0,0,0,0,0,136,0
3bbbdfc6-17f8-c90d-5829-14f3b1738a51,2026-01-18,106,101,5,566,532,34,0,0,101,5,0,0
ae0ffdb4-3f51-f4c4-87a7-53c2b46a0c18,2026-01-18,1,1,0,7,7,0,0,0,0,0,1,0
33e839ea-074e-e138-16dc-4a867812860d,2026-01-18,7,7,0,182,182,0,7,0,3,0,0,0
578241a6-ff5e-ce63-21bc-18fd3b399892,2026-01-18,98,98,0,5838,5838,0,3,0,0,0,95,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,2026-01-18,151,0,151,790,0,790,0,0,0,151,0,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,2026-01-25,175,0,175,895,0,895,0,0,0,175,0,0
98e53774-1f18-e88c-9de2-07331d654981,2026-01-25,3,2,1,38,24,14,0,0,0,1,2,0
578241a6-ff5e-ce63-21bc-18fd3b399892,2026-01-25,104,104,0,5749,5749,0,0,0,0,0,104,0
7ac60d72-1bb2-7614-667c-584e84f2af83,2026-01-25,6,6,0,100,100,0,0,0,0,0,6,0
33e839ea-074e-e138-16dc-4a867812860d,2026-01-25,7,7,0,172,172,0,3,0,7,0,0,0
ae0ffdb4-3f51-f4c4-87a7-53c2b46a0c18,2026-01-25,1,1,0,7,7,0,0,0,0,0,1,0
3bbbdfc6-17f8-c90d-5829-14f3b1738a51,2026-01-25,172,167,5,776,748,28,0,0,167,5,0,0
33e839ea-074e-e138-16dc-4a867812860d,2026-02-01,7,7,0,193,193,0,3,0,7,0,0,0
ae0ffdb4-3f51-f4c4-87a7-53c2b46a0c18,2026-02-01,1,1,0,6,6,0,0,0,0,0,1,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,2026-02-01,171,0,171,912,0,912,0,0,0,171,0,0
578241a6-ff5e-ce63-21bc-18fd3b399892,2026-02-01,29,29,0,1562,1562,0,0,0,0,0,29,0
578241a6-ff5e-ce63-21bc-18fd3b399892,2026-02-08,1,1,0,82,82,0,0,0,0,0,1,0
b7b409ca-6516-2e27-a5b2-e7c823fa4654,2026-02-08,2,2,0,28,28,0,0,0,2,0,0,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,2026-02-08,294,0,294,1371,0,1371,0,0,0,294,0,0
ae0ffdb4-3f51-f4c4-87a7-53c2b46a0c18,2026-02-08,1,1,0,6,6,0,0,0,0,0,1,0
33e839ea-074e-e138-16dc-4a867812860d,2026-02-08,7,7,0,148,148,0,4,0,7,0,0,0
33e839ea-074e-e138-16dc-4a867812860d,2026-02-15,7,7,0,144,144,0,4,0,7,0,0,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,2026-02-15,275,0,275,1515,0,1515,0,0,0,275,0,0
b7b409ca-6516-2e27-a5b2-e7c823fa4654,2026-02-15,5,5,0,70,70,0,0,0,5,0,0,0
578241a6-ff5e-ce63-21bc-18fd3b399892,2026-02-15,1,1,0,74,74,0,0,0,0,0,1,0
b7b409ca-6516-2e27-a5b2-e7c823fa4654,2026-02-22,1,1,0,14,14,0,0,0,1,0,0,0
578241a6-ff5e-ce63-21bc-18fd3b399892,2026-02-22,86,86,0,6793,6793,0,0,0,0,0,86,0
bafdecf0-bff2-afee-ee8a-0e22c63d41b7,2026-02-22,10,10,0,54,54,0,0,0,10,0,0,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,2026-02-22,246,1,245,1610,8,1602,0,0,1,245,0,0
8a775919-f949-ab5c-5171-99d06151136e,2026-02-22,4,4,0,453,453,0,0,0,0,0,4,0
33e839ea-074e-e138-16dc-4a867812860d,2026-02-22,7,7,0,131,131,0,4,0,6,0,0,0
8a775919-f949-ab5c-5171-99d06151136e,2026-03-01,7,7,0,628,628,0,0,0,0,0,7,0
3f0a5559-0596-3fe5-aa0f-59899cb9169f,2026-03-01,79,79,0,4106,4106,0,0,0,79,0,0,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,2026-03-01,213,0,213,1209,0,1209,0,0,0,213,0,0
578241a6-ff5e-ce63-21bc-18fd3b399892,2026-03-01,1,1,0,76,76,0,0,0,0,0,1,0
b7b409ca-6516-2e27-a5b2-e7c823fa4654,2026-03-01,1,1,0,11,11,0,0,0,1,0,0,0
35b60863-5ea2-8181-3a6d-8e6d672db7ea,2026-03-01,19,19,0,666,666,0,0,0,19,0,0,0
33e839ea-074e-e138-16dc-4a867812860d,2026-03-01,7,7,0,125,125,0,4,0,7,0,0,0
11c98121-b090-86f2-e35e-095856ee3c17,2026-03-08,18,17,1,160,158,2,17,0,0,1,0,0
33e839ea-074e-e138-16dc-4a867812860d,2026-03-08,7,7,0,129,129,0,4,0,6,0,0,0
35b60863-5ea2-8181-3a6d-8e6d672db7ea,2026-03-08,14,14,0,478,478,0,0,0,14,0,0,0
b7b409ca-6516-2e27-a5b2-e7c823fa4654,2026-03-08,1,1,0,18,18,0,0,0,1,0,0,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,2026-03-08,195,0,195,1042,0,1042,0,0,0,195,0,0
f84c090b-cfb5-79fa-e66a-68bedca65fdc,2026-03-08,3,3,0,18,18,0,0,0,0,0,3,0
8a775919-f949-ab5c-5171-99d06151136e,2026-03-08,7,7,0,549,549,0,0,0,0,0,7,0
33e839ea-074e-e138-16dc-4a867812860d,2026-03-15,7,7,0,121,121,0,3,0,5,0,0,0
ae1d0e66-b31b-4998-0714-fb17703e1f21,2026-03-15,139,53,86,687,359,328,0,0,53,86,0,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,2026-03-15,302,1,301,1697,2,1695,0,0,0,301,1,0
8a775919-f949-ab5c-5171-99d06151136e,2026-03-15,7,6,1,526,465,61,0,0,0,0,6,1
578241a6-ff5e-ce63-21bc-18fd3b399892,2026-03-15,1,1,0,65,65,0,0,0,0,0,1,0
b7b409ca-6516-2e27-a5b2-e7c823fa4654,2026-03-15,1,1,0,12,12,0,0,0,1,0,0,0
35b60863-5ea2-8181-3a6d-8e6d672db7ea,2026-03-15,11,11,0,384,384,0,0,0,11,0,0,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,2026-03-22,288,0,288,1580,0,1580,0,0,0,288,0,0
8a775919-f949-ab5c-5171-99d06151136e,2026-03-22,7,7,0,572,572,0,0,0,0,0,7,0
35b60863-5ea2-8181-3a6d-8e6d672db7ea,2026-03-22,14,14,0,543,543,0,0,0,14,0,0,0
578241a6-ff5e-ce63-21bc-18fd3b399892,2026-03-22,3,3,0,195,195,0,0,0,0,0,3,0
b7b409ca-6516-2e27-a5b2-e7c823fa4654,2026-03-22,1,1,0,14,14,0,0,0,1,0,0,0
33e839ea-074e-e138-16dc-4a867812860d,2026-03-22,7,7,0,123,123,0,1,0,6,0,0,0
6cbc666c-cfc2-e9da-e331-b0b1075102f1,2026-03-22,9,7,2,57,38,19,0,0,0,0,7,2
ae1d0e66-b31b-4998-0714-fb17703e1f21,2026-03-22,162,54,108,797,354,443,0,0,54,108,0,0
ae1d0e66-b31b-4998-0714-fb17703e1f21,2026-03-29,144,58,86,793,423,370,0,0,58,86,0,0
49d66e77-4b62-47f6-59da-e8a5f77ceb62,2026-03-29,1,1,0,17,17,0,0,0,0,0,1,0
33e839ea-074e-e138-16dc-4a867812860d,2026-03-29,2,2,0,35,35,0,0,0,2,0,0,0
98e53774-1f18-e88c-9de2-07331d654981,2026-03-29,3,0,3,33,0,33,0,0,0,3,0,0
35b60863-5ea2-8181-3a6d-8e6d672db7ea,2026-03-29,52,52,0,1956,1956,0,0,0,52,0,0,0
b7b409ca-6516-2e27-a5b2-e7c823fa4654,2026-03-29,1,1,0,9,9,0,0,0,1,0,0,0
578241a6-ff5e-ce63-21bc-18fd3b399892,2026-03-29,1,1,0,72,72,0,0,0,0,0,1,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,2026-03-29,221,0,221,1332,0,1332,0,0,0,221,0,0
3f0a5559-0596-3fe5-aa0f-59899cb9169f,2026-03-29,11,11,0,571,571,0,0,0,11,0,0,0
8a775919-f949-ab5c-5171-99d06151136e,2026-03-29,1,1,0,71,71,0,0,0,0,0,1,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,2026-04-05,233,0,233,1364,0,1364,0,0,0,233,0,0
8a775919-f949-ab5c-5171-99d06151136e,2026-04-05,5,5,0,49,49,0,0,0,0,0,5,0
98e53774-1f18-e88c-9de2-07331d654981,2026-04-05,1,0,1,10,0,10,0,0,0,1,0,0
ca046bd6-e1f2-5794-a120-332ca9cf8295,2026-04-05,12,0,12,346,0,346,0,0,0,12,0,0
b7b409ca-6516-2e27-a5b2-e7c823fa4654,2026-04-05,1,1,0,10,10,0,0,0,1,0,0,0
578241a6-ff5e-ce63-21bc-18fd3b399892,2026-04-05,1,1,0,75,75,0,0,0,0,0,1,0
35b60863-5ea2-8181-3a6d-8e6d672db7ea,2026-04-05,7,7,0,252,252,0,0,0,7,0,0,0
49d66e77-4b62-47f6-59da-e8a5f77ceb62,2026-04-05,1,1,0,18,18,0,0,0,0,0,1,0
33e839ea-074e-e138-16dc-4a867812860d,2026-04-05,7,7,0,129,129,0,0,0,7,0,0,0
ae1d0e66-b31b-4998-0714-fb17703e1f21,2026-04-05,196,61,135,1043,490,553,0,0,61,135,0,0
33e839ea-074e-e138-16dc-4a867812860d,2026-04-12,7,5,2,180,94,86,0,0,5,2,0,0
ae1d0e66-b31b-4998-0714-fb17703e1f21,2026-04-12,179,63,116,885,434,451,0,0,63,116,0,0
8a775919-f949-ab5c-5171-99d06151136e,2026-04-12,7,7,0,72,72,0,0,0,0,0,7,0
3f0a5559-0596-3fe5-aa0f-59899cb9169f,2026-04-12,3,3,0,86,86,0,0,0,3,0,0,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,2026-04-12,250,0,250,1324,0,1324,0,0,0,250,0,0
35b60863-5ea2-8181-3a6d-8e6d672db7ea,2026-04-12,21,21,0,756,756,0,0,0,21,0,0,0
578241a6-ff5e-ce63-21bc-18fd3b399892,2026-04-12,1,1,0,27,27,0,0,0,0,0,1,0
b7b409ca-6516-2e27-a5b2-e7c823fa4654,2026-04-12,1,1,0,9,9,0,0,0,1,0,0,0
ca046bd6-e1f2-5794-a120-332ca9cf8295,2026-04-12,17,0,17,482,0,482,0,0,0,17,0,0
8a775919-f949-ab5c-5171-99d06151136e,2026-04-19,7,7,0,78,78,0,0,0,0,0,7,0
3f0a5559-0596-3fe5-aa0f-59899cb9169f,2026-04-19,131,131,0,19646,19646,0,0,0,131,0,0,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,2026-04-19,287,0,287,1693,0,1693,0,0,0,287,0,0
578241a6-ff5e-ce63-21bc-18fd3b399892,2026-04-19,1,1,0,65,65,0,0,0,0,0,1,0
b7b409ca-6516-2e27-a5b2-e7c823fa4654,2026-04-19,1,1,0,11,11,0,0,0,1,0,0,0
35b60863-5ea2-8181-3a6d-8e6d672db7ea,2026-04-19,38,38,0,1407,1407,0,0,0,38,0,0,0
ca046bd6-e1f2-5794-a120-332ca9cf8295,2026-04-19,18,0,18,500,0,500,0,0,0,18,0,0
98e53774-1f18-e88c-9de2-07331d654981,2026-04-19,16,1,15,174,16,158,0,0,0,15,1,0
33e839ea-074e-e138-16dc-4a867812860d,2026-04-19,7,7,0,175,175,0,0,0,7,0,0,0
ae1d0e66-b31b-4998-0714-fb17703e1f21,2026-04-19,158,53,105,739,349,390,0,0,53,105,0,0
ae1d0e66-b31b-4998-0714-fb17703e1f21,2026-04-26,173,61,112,834,361,473,0,0,61,112,0,0
33e839ea-074e-e138-16dc-4a867812860d,2026-04-26,7,7,0,129,129,0,0,0,7,0,0,0
b7b409ca-6516-2e27-a5b2-e7c823fa4654,2026-04-26,1,1,0,11,11,0,0,0,1,0,0,0
578241a6-ff5e-ce63-21bc-18fd3b399892,2026-04-26,11,10,1,600,519,81,0,0,0,0,10,1
35b60863-5ea2-8181-3a6d-8e6d672db7ea,2026-04-26,19,19,0,703,703,0,0,0,19,0,0,0
ca046bd6-e1f2-5794-a120-332ca9cf8295,2026-04-26,13,0,13,356,0,356,0,0,0,13,0,0
3f0a5559-0596-3fe5-aa0f-59899cb9169f,2026-04-26,240,240,0,32651,32651,0,0,0,240,0,0,0
8a775919-f949-ab5c-5171-99d06151136e,2026-04-26,7,7,0,75,75,0,0,0,0,0,7,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,2026-04-26,250,0,250,1086,0,1086,0,0,0,250,0,0
33e839ea-074e-e138-16dc-4a867812860d,2026-05-03,7,7,0,137,137,0,0,0,7,0,0,0
ae1d0e66-b31b-4998-0714-fb17703e1f21,2026-05-03,157,59,98,750,393,357,0,0,59,98,0,0
3f0a5559-0596-3fe5-aa0f-59899cb9169f,2026-05-03,6,6,0,125,125,0,0,0,6,0,0,0
8a775919-f949-ab5c-5171-99d06151136e,2026-05-03,7,7,0,79,79,0,0,0,0,0,7,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,2026-05-03,260,0,260,1218,0,1218,0,0,0,260,0,0
35b60863-5ea2-8181-3a6d-8e6d672db7ea,2026-05-03,17,17,0,611,611,0,0,0,17,0,0,0
b7b409ca-6516-2e27-a5b2-e7c823fa4654,2026-05-03,1,1,0,17,17,0,0,0,1,0,0,0
ca046bd6-e1f2-5794-a120-332ca9cf8295,2026-05-03,15,0,15,448,0,448,0,0,0,15,0,0
ae1d0e66-b31b-4998-0714-fb17703e1f21,2026-05-10,166,52,114,878,384,494,0,0,52,114,0,0
33e839ea-074e-e138-16dc-4a867812860d,2026-05-10,7,7,0,143,143,0,0,0,7,0,0,0
b7b409ca-6516-2e27-a5b2-e7c823fa4654,2026-05-10,1,1,0,11,11,0,0,0,1,0,0,0
35b60863-5ea2-8181-3a6d-8e6d672db7ea,2026-05-10,14,14,0,533,533,0,0,0,14,0,0,0
ca046bd6-e1f2-5794-a120-332ca9cf8295,2026-05-10,4,0,4,131,0,131,0,0,0,4,0,0
3f0a5559-0596-3fe5-aa0f-59899cb9169f,2026-05-10,42,42,0,812,812,0,0,0,42,0,0,0
8a775919-f949-ab5c-5171-99d06151136e,2026-05-10,5,5,0,60,60,0,0,0,0,0,5,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,2026-05-10,299,0,299,1736,0,1736,0,0,0,299,0,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,2026-05-17,333,0,333,1593,0,1593,0,0,0,333,0,0
3f0a5559-0596-3fe5-aa0f-59899cb9169f,2026-05-17,16,16,0,312,312,0,0,0,16,0,0,0
8a775919-f949-ab5c-5171-99d06151136e,2026-05-17,7,7,0,70,70,0,0,0,0,0,7,0
98e53774-1f18-e88c-9de2-07331d654981,2026-05-17,2,0,2,25,0,25,0,0,0,2,0,0
ca046bd6-e1f2-5794-a120-332ca9cf8295,2026-05-17,8,0,8,245,0,245,0,0,0,8,0,0
35b60863-5ea2-8181-3a6d-8e6d672db7ea,2026-05-17,12,12,0,477,477,0,0,0,12,0,0,0
b7b409ca-6516-2e27-a5b2-e7c823fa4654,2026-05-17,1,1,0,11,11,0,0,0,1,0,0,0
33e839ea-074e-e138-16dc-4a867812860d,2026-05-17,7,7,0,153,153,0,0,0,7,0,0,0
ae1d0e66-b31b-4998-0714-fb17703e1f21,2026-05-17,213,93,120,1097,672,425,0,0,93,120,0,0
33e839ea-074e-e138-16dc-4a867812860d,2026-05-24,7,7,0,217,217,0,0,0,7,0,0,0
ae1d0e66-b31b-4998-0714-fb17703e1f21,2026-05-24,173,60,113,861,404,457,0,0,60,113,0,0
8a775919-f949-ab5c-5171-99d06151136e,2026-05-24,7,7,0,70,70,0,0,0,0,0,7,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,2026-05-24,170,0,170,950,0,950,0,0,0,170,0,0
35b60863-5ea2-8181-3a6d-8e6d672db7ea,2026-05-24,16,16,0,614,614,0,0,0,16,0,0,0
b7b409ca-6516-2e27-a5b2-e7c823fa4654,2026-05-24,1,1,0,9,9,0,0,0,1,0,0,0
ca046bd6-e1f2-5794-a120-332ca9cf8295,2026-05-24,12,0,12,426,0,426,0,0,0,12,0,0
